wID	w1cs	lemma	PoS
283	's	's	ge_vbz
284	ever	ever	rr
285	Do	do	vd0
286	My	my	appge
287	so	so	rr
288	see	see	vv0
289	week	week	nnt1
290	United	united	np1
291	States	state	np1
292	under	under	ii
293	president	president	nn1
294	house	house	nn1
295	point	point	nn1
296	ago	ago	ra
297	done	do	vdn
298	eyes	eye	nn2
299	business	business	nn1
300	come	come	vvi
301	got	get	vvd
302	father	father	nn1
303	His	his	appge
304	about	about	rg
305	high	high	jj
306	woman	woman	nn1
307	want	want	vvi
308	find	find	vvi
309	head	head	nn1
310	At	at	ii
311	young	young	jj
312	well	well	rr
313	almost	almost	rr
314	company	company	nn1
315	knew	know	vvd
316	One	one	mc1
317	Then	then	rt
318	in	in	rp@
319	among	among	ii
320	little	little	jj
321	kind	kind	nn1
322	side	side	nn1
323	problem	problem	nn1
324	10	10	mc
325	power	power	nn1
326	When	when	cs_rrq
327	so	so	cs@_rr
328	as	as	ii22
329	end	end	nn1
330	such	such	ii21
331	over	over	ii_rp
332	information	information	nn1
333	made	make	vvn
334	&;	&;	x
335	'd	have	vhd
336	anything	anything	pn1
337	together	together	rl
338	when	when	cs
339	tell	tell	vvi
340	Yes	yes	uh
341	John	john	np1
342	five	five	mc
343	trying	try	vvg
344	story	story	nn1
345	question	question	nn1
346	war	war	nn1
347	times	time	nnt2
348	seen	see	vvn
349	himself	himself	ppx1
350	already	already	rr
351	real	real	jj
352	help	help	vvi
353	least	least	rr22
354	nothing	nothing	pn1
355	On	on	ii
356	several	several	da2
357	job	job	nn1
358	city	city	nn1
359	others	others	nn2
360	over	over	rp
361	America	america	np1
362	home	home	nn1
363	child	child	nn1
364	large	large	jj
365	program	program	nn1
366	looking	look	vvg
367	got	get	vvn
368	social	social	jj
369	face	face	nn1
370	3	3	mc
371	Washington	washington	np1
372	getting	get	vvg
373	need	need	vv0
374	saw	see	vvd
375	began	begin	vvd
376	toward	toward	ii
377	having	have	vhg
378	long	long	jj
379	door	door	nn1
380	if	if	cs22
381	asked	ask	vvd
382	's	be	vbz_vhz@
383	thought	think	vvd
384	only	only	jj
385	mean	mean	vv0
386	making	make	vvg
387	whether	whether	csw
388	body	body	nn1
389	before	before	ii_cs
390	No	no	xx
391	history	history	nn1
392	morning	morning	nnt1
393	months	month	nnt2
394	give	give	vvi
395	able	able	jk
396	go	go	vv0
397	person	person	nn1
398	These	these	dd2
399	within	within	ii
400	where	where	rrq
401	across	across	ii
402	black	black	jj
403	told	tell	vvd
404	course	course	rr22
405	name	name	nn1
406	yet	yet	rr
407	's	be	vhz
408	University	university	nn1
409	car	car	nn1
410	By	by	ii
411	area	area	nn1
412	problems	problem	nn2
413	book	book	nn1
414	With	with	iw
415	team	team	nn1
416	study	study	nn1
417	made	make	vvd
418	parents	parent	nn2
419	actually	actually	rr
420	keep	keep	vvi
421	probably	probably	rr
422	much	much	da1_rr
423	community	community	nn1
424	Oh	oh	uh
425	wanted	want	vvd
426	I	i	zz1%
427	Some	some	dd
428	best	best	jjt
429	education	education	nn1
430	more	more	rrr_dar
431	everything	everything	pn1
432	law	law	nn1
433	music	music	nn1
434	after	after	ii
435	--	--	x
436	health	health	nn1
437	sense	sense	nn1
438	on	on	rp@
439	How	how	rrq
440	am	be	vbm
441	moment	moment	nn1
442	local	local	jj
443	line	line	nn1
444	up	up	rp_ii@
445	Why	why	rrq
446	members	member	nn2
447	later	later	rrr
448	else	else	rr
449	game	game	nn1
450	look	look	vvi
451	minutes	minute	nnt2
452	more	more	dar_rrr
453	makes	make	vvz
454	kids	kid	nn2
455	saying	say	vvg
456	someone	someone	pn1
457	air	air	nn1
458	public	public	jj_nn1
459	white	white	jj
460	THE	the	at
461	themselves	themselves	ppx2
462	her	her	appge_ppho1
463	idea	idea	nn1
464	like	like	vvi
465	Not	not	xx
466	both	both	db2
467	hands	hand	nn2
468	4	4	mc
469	possible	possible	jj
470	behind	behind	ii
471	office	office	nn1
472	national	national	jj
473	sure	sure	jj
474	words	word	nn2
475	economic	economic	jj
476	To	to	to
477	research	research	nn1
478	*	*	fu
479	major	major	jj
480	hours	hour	nnt2
481	House	house	nn1
482	Yeah	yeah	uh
483	former	former	da
484	six	six	mc
485	comes	come	vvz
486	using	use	vvg
487	food	food	nn1
488	taken	take	vvn
489	as	as	cs21
490	process	process	nn1
491	National	national	jj
492	became	become	vvd
493	when	when	rrq
494	talking	talk	vvg
495	Is	be	vbz
496	coming	come	vvg
497	Bush	bush	np1
498	feet	foot	nn2
499	As	as	csa
500	around	around	rp
501	seems	seem	vvz
502	make	make	vv0
503	one	one	pn1_mc1
504	around	around	ii
505	example	example	rex22
506	use	use	vvi
507	that	that	cs22
508	death	death	nn1
509	groups	group	nn2
510	however	however	rr
511	gave	give	vvd
512	working	work	vvg
513	taking	take	vvg
514	Clinton	clinton	np1
515	'	'	"@
516	issue	issue	nn1
517	wife	wife	nn1
518	20	20	mc
519	had	have	vhn
520	5	5	mc
521	use	use	nn1
522	friends	friend	nn2
523	When	when	cs
524	bad	bad	jj
525	whose	whose	ddqge
526	until	until	cs
527	care	care	nn1
528	age	age	nn1
529	policy	policy	nn1
530	used	use	vvn
531	looked	look	vvd
532	itself	itself	ppx1
533	role	role	nn1
534	especially	especially	rr
535	gone	go	vvn
536	talk	talk	vvi
537	development	development	nn1
538	known	know	vvn
539	Her	her	appge
540	full	full	jj
541	heart	heart	nn1
542	human	human	jj_nn1
543	there	there	ex_rl
544	felt	feel	vvd
545	in	in	rp@_ii
546	found	find	vvd
547	news	news	nn1
548	before	before	cs
549	police	police	nn2
550	voice	voice	nn1
551	companies	company	nn2
552	started	start	vvd
553	questions	question	nn2
554	given	give	vvn
555	reason	reason	nn1
556	season	season	nnt1
557	's	be	vm22
558	including	including	ii_vvg@
559	President	president	nnb
560	early	early	jj
561	San	san	np1
562	Dr.	dr	nnb
563	Americans	american	nn2
564	take	take	vv0
565	data	data	nn
566	programs	program	nn2
567	how	how	rgq@_rrq
568	California	california	np1
569	because	because	ii21
570	seemed	seem	vvd
571	Iraq	iraq	np1
572	whole	whole	jj
573	All	all	db
574	mind	mind	nn1
575	true	true	jj
576	I	i	zz1%_mc1%
577	issues	issue	nn2
578	recent	recent	jj
579	certain	certain	jj
580	wo	will	vm
581	looks	look	vvz
582	City	city	nn1
583	maybe	maybe	rr
584	control	control	nn1
585	hair	hair	nn1
586	town	town	nn1
587	believe	believe	vv0
588	interest	interest	nn1
589	enough	enough	rr
590	right	right	jj
591	weeks	week	nnt2
592	home	home	rl
593	once	once	rr
594	simply	simply	rr
595	called	call	vvn
596	put	put	vvi
597	ways	way	nn2
598	table	table	nn1
599	military	military	jj
600	free	free	jj
601	oil	oil	nn1
602	word	word	nn1
603	of	of	rr21
604	market	market	nn1
605	son	son	nn1
606	work	work	vvi
607	much	much	rr
608	special	special	jj
609	as	as	csa_rg@
610	World	world	nn1
611	experience	experience	nn1
612	personal	personal	jj
613	a	a	rr21
614	art	art	nn1
615	where	where	rrq_cs
616	back	back	rp_nn1
617	takes	take	vvz
618	difficult	difficult	jj
619	While	while	cs
620	feel	feel	vvi
621	both	both	rr
622	attention	attention	nn1
623	based	base	vvn
624	federal	federal	jj
625	30	30	mc
626	evidence	evidence	nn1
627	goes	go	vvz
628	off	off	ii_rp
629	perhaps	perhaps	rr
630	feel	feel	vv0
631	God	god	np1
632	for	for	rex21
633	officials	official	nn2
634	guy	guy	nn1
635	'	'	ge_"@
636	Congress	congress	nn1
637	sometimes	sometimes	rt
638	15	15	mc
639	too	too	rr@
640	on	on	rp
641	schools	school	nn2
642	available	available	jj
643	couple	couple	nn1
644	party	party	nn1
645	6	6	mc
646	field	field	nn1
647	David	david	np1
648	friend	friend	nn1
649	found	find	vvn
650	myself	myself	ppx1
651	strong	strong	jj
652	before	before	ii
653	month	month	nnt1
654	student	student	nn1
655	director	director	nn1
656	Although	although	cs
657	better	better	jjr
658	class	class	nn1
659	industry	industry	nn1
660	everyone	everyone	pn1
661	From	from	ii
662	around	around	ii_rp
663	nearly	nearly	rr
664	areas	area	nn2
665	12	12	mc
666	even	even	cs21
667	ask	ask	vvi
668	George	george	np1
669	center	center	nn1
670	An	a	at1
671	space	space	nn1
672	hear	hear	vvi
673	more	more	rgr_dar
674	position	position	nn1
675	made	make	vvd_vvn
676	until	until	cs_ii@
677	court	court	nn1
678	boy	boy	nn1
679	A	a	zz1
680	hard	hard	jj
681	Just	just	rr
682	teachers	teacher	nn2
683	billion	billion	m
684	relationship	relationship	nn1
685	cases	case	nn2
686	understand	understand	vvi
687	situation	situation	nn1
688	girl	girl	nn1
689	on	on	rp@_ii
690	third	third	md
691	college	college	nn1
692	view	view	nn1
693	paper	paper	nn1
694	significant	significant	jj
695	phone	phone	nn1
696	to	to	ii_to
697	come	come	vv0
698	floor	floor	nn1
699	Here	here	rl
700	wants	want	vvz
701	much	much	rr_da1
702	service	service	nn1
703	countries	country	nn2
704	upon	upon	ii
705	gets	get	vvz
706	as	as	ii31
707	society	society	nn1
708	over	over	rp_ii
709	finally	finally	rr
710	since	since	cs
711	back	back	nn1
712	look	look	vv0
713	quickly	quickly	rr
714	summer	summer	nnt1
715	period	period	nn1
716	believe	believe	vvi
717	second	second	md
718	husband	husband	nn1
719	rights	right	nn2
720	nation	nation	nn1
721	However	however	rr
722	rest	rest	nn1
723	security	security	nn1
724	up	up	ii21
725	each	each	ppx221
726	play	play	vvi
727	effect	effect	nn1
728	other	other	ppx222
729	become	become	vvi
730	action	action	nn1
731	single	single	jj
732	decision	decision	nn1
733	bed	bed	nn1
734	according	according	ii21
735	one	one	pn122
736	PHOTO	photo	nn1
737	anyone	anyone	pn1
738	Because	because	cs
739	road	road	nn1
740	try	try	vvi
741	if	if	csw@_cs
742	studies	study	nn2
743	per	per	ii
744	herself	herself	ppx1
745	love	love	nn1
746	Our	our	appge
747	land	land	nn1
748	8	8	mc
749	11	11	mc
750	private	private	jj
751	international	international	jj
752	nature	nature	nn1
753	blood	blood	nn1
754	through	through	ii_rp@
755	pay	pay	vvi
756	right	right	rr_nn1_jj
757	level	level	nn1
758	certainly	certainly	rr
759	common	common	jj
760	plan	plan	nn1
761	culture	culture	nn1
762	economy	economy	nn1
763	hour	hour	nnt1
764	recently	recently	rr
765	Thank	thank	vv0
766	far	far	rr
767	workers	worker	nn2
768	ground	ground	nn1
769	show	show	nn1
770	bring	bring	vvi
771	's	be	vbz_ge
772	right	right	rr22
773	First	first	md
774	dead	dead	jj
775	Center	center	nn1
776	campaign	campaign	nn1
777	to	to	ii33
778	chance	chance	nn1
779	century	century	nnt1
780	energy	energy	nn1
781	though	though	cs22
782	miles	mile	nnu2
783	After	after	cs_ii
784	although	although	cs
785	as	as	csa_ii
786	knows	know	vvz
787	similar	similar	jj
788	quite	quite	rg
789	services	service	nn2
790	7	7	mc
791	wrote	write	vvd
792	Michael	michael	np1
793	usually	usually	rr
794	serious	serious	jj
795	results	result	nn2
796	before	before	rt
797	as	as	ii33
798	well	well	ii32
799	performance	performance	nn1
800	baby	baby	nn1
801	rate	rate	nn1
802	support	support	nn1
803	People	people	nn
804	either	either	rr
805	War	war	nn1
806	current	current	jj
807	foreign	foreign	jj
808	population	population	nn1
809	TV	tv	nn1
810	State	state	nn1
811	particularly	particularly	rr
812	Many	many	da2
813	families	family	nn2
814	about	about	ii_rp@
815	tried	try	vvd
816	as	as	cs33
817	lives	life	nn2
818	leave	leave	vvi
819	church	church	nn1
820	=	=	fo
821	growth	growth	nn1
822	practice	practice	nn1
823	model	model	nn1
824	result	result	nn1
825	change	change	nn1
826	White	white	np1
827	Texas	texas	np1
828	New	new	jj
829	computer	computer	nn1
830	higher	high	jjr
831	likely	likely	jj
832	tax	tax	nn1
833	down	down	rp_ii@
834	film	film	nn1
835	half	half	db
836	teacher	teacher	nn1
837	patients	patient	nn2
838	technology	technology	nn1
839	let	let	vvi
840	soon	soon	rr
841	Even	even	rr
842	Department	department	nn1
843	daughter	daughter	nn1
844	knowledge	knowledge	nn1
845	street	street	nn1
846	form	form	nn1
847	happened	happen	vvd
848	since	since	cs_ii@
849	arms	arm	nn2
850	clear	clear	jj
851	physical	physical	jj
852	late	late	jj
853	turned	turn	vvd
854	media	media	nn
855	right	right	jj_nn1
856	administration	administration	nn1
857	behavior	behavior	nn1
858	force	force	nn1
859	language	language	nn1
860	medical	medical	jj
861	look	look	nn1
862	site	site	nn1
863	little	little	rr22
864	provide	provide	vvi
865	report	report	nn1
866	come	come	vvn
867	Are	be	vbr
868	leaders	leader	nn2
869	window	window	nn1
870	television	television	nn1
871	in	in	rr21
872	natural	natural	jj
873	seven	seven	mc
874	though	though	cs
875	price	price	nn1
876	effort	effort	nn1
877	record	record	nn1
878	series	series	nn
879	eight	eight	mc
880	movie	movie	nn1
881	stop	stop	vvi
882	ones	one	z'
883	playing	play	vvg
884	As	as	ii_csa
885	difference	difference	nn1
886	players	player	nn2
887	happen	happen	vvi
888	change	change	vvi
889	show	show	vvi
890	need	need	vvi
891	systems	system	nn2
892	various	various	jj
893	success	success	nn1
894	after	after	cs_ii
895	poor	poor	jj
896	Two	two	mc
897	books	book	nn2
898	exactly	exactly	rr
899	off	off	rp_ii
900	move	move	vvi
901	so	so	cs21
902	value	value	nn1
903	called	call	vvn_vvd@
904	Robert	robert	np1
905	forward	forward	rl
906	course	course	nn1
907	hot	hot	jj
908	matter	matter	nn1
909	fire	fire	nn1
910	stories	story	nn2
911	drug	drug	nn1
912	defense	defense	nn1
913	ability	ability	nn1
914	call	call	vvi
915	guys	guy	nn2
916	50	50	mc
917	simple	simple	jj
918	entire	entire	jj
919	meet	meet	vvi
920	open	open	jj
921	onto	onto	ii
922	states	state	nn2
923	Did	do	vdd
924	size	size	nn1
925	beyond	beyond	ii
926	treatment	treatment	nn1
927	levels	level	nn2
928	wall	wall	nn1
929	Or	or	cc
930	let	let	vv0
931	other	other	jj_nn1@
932	happy	happy	jj
933	religious	religious	jj
934	Chicago	chicago	np1
935	@	-	ii
936	near	near	ii
937	no	no	uh
938	than	than	ii22
939	quality	quality	nn1
940	become	become	vvn@
941	stay	stay	vvi
942	long	long	rr
943	25	25	mc
944	changes	change	nn2
945	financial	financial	jj
946	building	building	nn1
947	greater	great	jjr
948	live	live	vvi
949	North	north	nd1
950	pressure	pressure	nn1
951	better	better	rrr_jjr
952	older	old	jjr
953	girls	girl	nn2
954	jobs	job	nn2
955	Most	most	dat
956	less	less	rgr
957	start	start	vvi
958	Maybe	maybe	rr
959	got	get	vvd_vvn
960	traditional	traditional	jj
961	movement	movement	nn1
962	risk	risk	nn1
963	West	west	nd1
964	environmental	environmental	jj
965	James	james	np1
966	1990	1990	mc
967	member	member	nn1
968	cultural	cultural	jj
969	sat	sit	vvd
970	watching	watch	vvg
971	Your	your	appge
972	career	career	nn1
973	sex	sex	nn1
974	yes	yes	uh
975	forces	force	nn2
976	games	game	nn2
977	yourself	yourself	ppx1
978	huge	huge	jj
979	mean	mean	vvi
980	legal	legal	jj
981	approach	approach	nn1
982	told	tell	vvn
983	project	project	nn1
984	science	science	nn1
985	Good	good	jj
986	For	for	rex21
987	activities	activity	nn2
988	image	image	nn1
989	necessary	necessary	jj
990	list	list	nn1
991	Europe	europe	np1
992	only	only	rr_jj
993	easy	easy	jj
994	fine	fine	jj
995	specific	specific	jj
996	piece	piece	nn1
997	less	less	dar
998	need	need	nn1
999	particular	particular	jj
1000	find	find	vv0
1001	popular	popular	jj
1002	News	news	nn1
1003	used	use	vmk
1004	events	event	nn2
1005	numbers	number	nn2
1006	showed	show	vvd
1007	School	school	nn1
1008	picture	picture	nn1
1009	everybody	everybody	pn1
1010	main	main	jj
1011	amount	amount	nn1
1012	analysis	analysis	nn1
1013	County	county	nn1
1014	Paul	paul	np1
1015	sexual	sexual	jj
1016	giving	give	vvg
1017	clearly	clearly	rr
1018	truth	truth	nn1
1019	both	both	db2_rr
1020	too	too	rr@_rg
1021	heard	hear	vvn
1022	choice	choice	nn1
1023	ran	run	vvd
1024	100	100	mc
1025	whatever	whatever	ddqv
1026	9	9	mc
1027	low	low	jj
1028	eye	eye	nn1
1029	environment	environment	nn1
1030	left	leave	vvd
1031	Mrs.	mrs	nnb
1032	OK	ok	rr
1033	race	race	nn1
1034	efforts	effort	nn2
1035	brother	brother	nn1
1036	order	order	nn1
1037	this	this	dd1_rg%
1038	All	all	rr21
1039	staff	staff	nn
1040	heard	hear	vvd
1041	short	short	jj
1042	no	no	rr21
1043	well	well	rr22_rr
1044	Let	let	vm21
1045	Yet	yet	rr
1046	opportunity	opportunity	nn1
1047	buy	buy	vvi
1048	type	type	nn1
1049	sitting	sit	vvg
1050	boys	boy	nn2
1051	stood	stand	vvd
1052	disease	disease	nn1
1053	East	east	nd1
1054	To	to	ii
1055	turn	turn	vvi
1056	order	order	bcl22
1057	ahead	ahead	rl
1058	lines	line	nn2
1059	1992	1992	mc
1060	enough	enough	rr_dd
1061	of	of	rr22
1062	Who	who	pnqs
1063	left	leave	vvn
1064	President	president	nn1
1065	Francisco	francisco	np1
1066	whom	whom	pnqo
1067	front	front	ii32
1068	production	production	nn1
1069	beautiful	beautiful	jj
1070	longer	long	rr22
1071	18	18	mc
1072	so	so	rr_cs@
1073	politics	politics	nn1
1074	conditions	condition	nn2
1075	general	general	jj_nn1
1076	40	40	mc
1077	peace	peace	nn1
1078	tell	tell	vv0
1079	Court	court	nn1
1080	effects	effect	nn2
1081	response	response	nn1
1082	run	run	vvi
1083	mouth	mouth	nn1
1084	glass	glass	nn1
1085	color	color	nn1
1086	pain	pain	nn1
1087	somebody	somebody	pn1
1088	Tom	tom	np1
1089	give	give	vv0
1090	loss	loss	nn1
1091	learn	learn	vvi
1092	Their	their	appge
1093	region	region	nn1
1094	Soviet	soviet	jj
1095	from	from	ii22_ii
1096	positive	positive	jj
1097	like	like	ii_jj@
1098	after	after	cs
1099	Another	another	dd1
1100	as	as	cs31
1101	management	management	nn1
1102	skills	skill	nn2
1103	Smith	smith	np1
1104	products	product	nn2
1105	away	away	ii21_rl
1106	14	14	mc
1107	guess	guess	vv0
1108	use	use	vv0
1109	resources	resource	nn2
1110	St.	st	np1
1111	parts	part	nn2
1112	stuff	stuff	nn1
1113	board	board	nn1
1114	stock	stock	nn1
1115	arm	arm	nn1
1116	No.	no	xx
1117	South	south	nd1
1118	impact	impact	nn1
1119	tonight	tonight	rt
1120	training	training	nn1
1121	future	future	nn1_jj
1122	moving	move	vvg
1123	trees	tree	nn2
1124	said	say	vvn
1125	Senate	senate	nn1
1126	1991	1991	mc
1127	Israel	israel	np1
1128	create	create	vvi
1129	deal	deal	nn1
1130	hospital	hospital	nn1
1131	with	with	ii22
1132	means	mean	vvz
1133	weight	weight	nn1
1134	more	more	rrr
1135	trade	trade	nn1
1136	kitchen	kitchen	nn1
1137	both	both	rr_db2
1138	13	13	mc
1139	cost	cost	nn1
1140	love	love	vv0
1141	dollars	dollar	nnu2
1142	continue	continue	vvi
1143	Today	today	rt
1144	2000	2000	mc
1145	violence	violence	nn1
1146	no	no	pn121
1147	evening	evening	nnt1
1148	article	article	nn1
1149	skin	skin	nn1
1150	message	message	nn1
1151	differences	difference	nn2
1152	bill	bill	nn1
1153	16	16	mc
1154	wrong	wrong	jj_rr@
1155	though	though	cs_rr@
1156	interesting	interesting	jj
1157	include	include	vv0
1158	throughout	throughout	ii
1159	No	no	xx
1160	above	above	ii
1161	died	die	vvd
1163	Those	those	dd2
1164	larger	large	jjr
1165	pretty	pretty	rg
1166	successful	successful	jj
1167	Atlanta	atlanta	np1
1168	gives	give	vvz
1169	doctor	doctor	nn1
1170	Let	let	vv0
1171	range	range	nn1
1172	When	when	rrq_cs
1173	leader	leader	nn1
1174	light	light	nn1_jj
1175	effective	effective	jj
1176	found	find	vvd_vvn
1177	stage	stage	nn1
1178	organization	organization	nn1
1179	Richard	richard	np1
1180	Jim	jim	np1
1181	fish	fish	nn
1182	reasons	reason	nn2
1183	OF	of	io
1184	off	off	ii
1185	species	species	nn
1186	trial	trial	nn1
1187	1989	1989	mc
1188	July	july	npm1
1189	1994	1994	mc
1190	places	place	nn2
1191	Los	los	np1
1192	surface	surface	nn1
1193	Bob	bob	np1
1194	activity	activity	nn1
1195	thousands	thousand	m
1196	individuals	individual	nn2
1197	test	test	nn1
1198	walked	walk	vvd
1199	critical	critical	jj
1200	try	try	vv0
1201	ideas	idea	nn2
1202	scene	scene	nn1
1203	remember	remember	vvi
1204	trouble	trouble	nn1
1205	COLOR	color	nn1
1206	radio	radio	nn1
1207	majority	majority	nn1
1208	directly	directly	rr
1209	modern	modern	jj
1210	1993	1993	mc
1211	suddenly	suddenly	rr
1212	China	china	np1
1213	A	a	zz1_at1@
1214	theory	theory	nn1
1215	crime	crime	nn1
1216	cancer	cancer	nn1
1217	answer	answer	nn1
1218	waiting	wait	vvg
1219	letter	letter	nn1
1220	sun	sun	nn1
1221	like	like	vv0
1222	in	in	bcl21
1223	Florida	florida	np1
1224	long	long	rr_jj
1225	over	over	rg
1226	weapons	weapon	nn2
1227	hundred	hundred	m
1228	sales	sales	nn
1229	British	british	jj
1230	win	win	vvi
1231	benefits	benefit	nn2
1232	including	including	ii
1233	values	value	nn2
1234	ball	ball	nn1
1235	heavy	heavy	jj
1236	event	event	nn1
1237	drugs	drug	nn2
1238	goal	goal	nn1
1239	along	along	ii21
1240	During	during	ii
1241	powerful	powerful	jj
1242	Democrats	democrat	nn2
1243	sound	sound	nn1
1244	author	author	nn1
1245	troops	troop	nn2
1246	like	like	ii_vv0@
1247	remember	remember	vv0
1248	heat	heat	nn1
1249	After	after	ii
1250	leaving	leave	vvg
1251	basic	basic	jj
1252	dinner	dinner	nn1
1253	character	character	nn1
1254	cars	car	nn2
1255	Of	of	rr21
1256	1996	1996	mc
1257	lower	low	jjr
1258	nuclear	nuclear	jj
1259	reality	reality	nn1
1260	completely	completely	rr
1261	lost	lose	vvn
1262	1995	1995	mc
1263	Thomas	thomas	np1
1264	involved	involved	jj
1265	fell	fall	vvd
1266	Bill	bill	np1
1267	African	african	jj
1268	gas	gas	nn1
1269	hard	hard	rr_jj
1270	bit	bit	nn1
1271	prices	price	nn2
1272	source	source	nn1
1273	term	term	nn1
1274	budget	budget	nn1
1275	design	design	nn1
1276	Mexico	mexico	np1
